Book title,Author name,Star rating,Number of reviews,Length,Publisher
Mistrust,Margaret McHeyzer,4.5,64,333,Amazon 
Girl in Pieces,Kathleen Glasgow,4.5,139,418,Delacorte
Just Juliet,Charlotte Reagan,4.5,369,224,Inkitt
Dork in Love ~ Tales of My Dorky Love Life: Teen Romance,Ann Writes,4.5,9,122,Amazon 
Warrior Cats: Battle (Warrior Cats (Werecat YA Paranormal) Book 4),Tiyana Angel,5,1,52,Guardian Angel Press
Out of Beat (Boys of Fallout Book 1),Cassandra Giovanni,4.5,11,231,Show not Tell Publishing
A Different Truth,Annette Oppenlander,4.5,25,256,Amazon 
Tell Me Three Things,Julie Buxbaum,4.5,218,338,Delacorte
The Fever Code: Book Five,James Dashner,4.5,235,384,Delacorte
The Passion of Dolssa,Julie Berry,4.5,57,496,Viking Books for Young Readers
Saven Deception: Sci-Fi Alien Romance (The Saven Series Book 1),Kelly Hartigan,4.5,203,437,Siobhan Davis
His to Claim,Ashley Michelle,4.5,55,481,BLVNP Incorporated
Hunger Is the Best Sauce,Z.A. Coe,5,7,269,Amazon 
Paper Princess: A Novel (The Royals Book 1),Erin Watt,4.5,871,370,Amazon 
Mated to the Alpha King,Jennise K,4,89,793,BLVNP Incorporated
King of Beasts,Jamiee Lynne,4,24,195,BLVNP Incorporated
If I Fix You,Abigail Johnson,4.5,37,336,Harlequin Teen
If Wishes Were Horses: A Bittersweet Farm Novella,Barbara Morgenroth,4,52,128,DashingBooks
The Sun Is Also a Star,Nicola Yoon,4.5,241,386,Delacorte
Salt to the Sea,Ruta Sepetys,4.5,681,402,Philomel Books
As Old As Time: A Twisted Tale,Liz Braswell,4,49,496,Disney Press
Wake (City of Light Book 1),Sherry Rossman,4.5,12,244,Darwin House Press
Suddenly,M.E. Tudor,4,143,378,Tea Rose Books
The Best Possible Answer: A Novel,E. Katherine Kottaras,4,28,272,St. Martin's Griffin
The Crush Dilemma (Dear Aubrey Book 1),Susan Hatler,4.5,12,198,Hatco Publishing
